               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.088699,             0.14754,            0.019788,             0.52708,             0.38362,             0.39405,             0.22761,            0.088764,             0.23049,            0.028523,           0.0059704,           0.0059704,           0.0059704
                 142,            0.088916,             0.14846,            0.019734,             0.52077,             0.38561,             0.39372,             0.22741,            0.088767,             0.23056,            0.028523,           0.0059235,           0.0059235,           0.0059235
                 143,            0.088631,             0.14825,            0.019767,              0.5166,             0.38873,             0.39365,              0.2272,            0.088767,             0.23052,            0.028524,           0.0058766,           0.0058766,           0.0058766
                 144,            0.088791,             0.14947,             0.01973,             0.52785,             0.38313,             0.39381,             0.22734,            0.088762,             0.23062,            0.028529,           0.0058296,           0.0058296,           0.0058296
                 145,             0.08842,             0.14747,            0.019554,              0.5274,             0.38286,              0.3939,             0.22753,             0.08876,             0.23068,             0.02854,           0.0057826,           0.0057826,           0.0057826
                 146,             0.08893,             0.14994,            0.019786,             0.49943,             0.39808,             0.39405,             0.22758,            0.088755,             0.23077,            0.028547,           0.0057355,           0.0057355,           0.0057355
                 147,            0.088859,             0.14675,            0.019595,             0.51455,             0.38899,             0.39437,             0.22763,            0.088751,             0.23078,            0.028552,           0.0056884,           0.0056884,           0.0056884
                 148,            0.088837,             0.14954,            0.019538,             0.54256,               0.375,             0.39419,             0.22747,            0.088747,             0.23087,            0.028561,           0.0056413,           0.0056413,           0.0056413
                 149,             0.08832,             0.14736,            0.019542,             0.48477,             0.40663,             0.39434,             0.22721,            0.088742,             0.23087,             0.02856,           0.0055942,           0.0055942,           0.0055942
                 150,            0.089007,             0.14864,            0.019583,             0.52356,             0.38489,              0.3948,             0.22756,            0.088737,             0.23095,            0.028559,           0.0055471,           0.0055471,           0.0055471
                 151,            0.088597,             0.14732,            0.019409,             0.54504,             0.37526,             0.39452,             0.22726,            0.088733,             0.23091,             0.02856,              0.0055,              0.0055,              0.0055
                 152,            0.088276,             0.14583,             0.01964,             0.52034,             0.38611,             0.39424,             0.22745,            0.088727,             0.23097,            0.028561,           0.0054529,           0.0054529,           0.0054529
                 153,            0.088285,             0.14666,            0.019369,             0.51743,             0.38759,             0.39448,             0.22754,            0.088718,             0.23104,            0.028563,           0.0054058,           0.0054058,           0.0054058
                 154,            0.088228,              0.1452,            0.019568,             0.53414,             0.37957,             0.39419,             0.22751,            0.088715,             0.23102,            0.028566,           0.0053587,           0.0053587,           0.0053587
                 155,            0.088312,             0.14663,            0.019243,             0.51103,             0.39154,             0.39447,              0.2274,            0.088714,             0.23107,            0.028566,           0.0053116,           0.0053116,           0.0053116
                 156,            0.088765,             0.14613,            0.019397,             0.53095,             0.38159,             0.39453,             0.22744,            0.088714,             0.23109,            0.028569,           0.0052645,           0.0052645,           0.0052645
                 157,            0.088366,             0.14547,            0.019274,             0.52899,             0.38213,             0.39459,             0.22768,            0.088714,             0.23109,            0.028569,           0.0052174,           0.0052174,           0.0052174
                 158,            0.088686,             0.14562,            0.019254,             0.52807,             0.38161,             0.39461,             0.22785,            0.088717,              0.2312,            0.028571,           0.0051704,           0.0051704,           0.0051704
