               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,             0.10091,              0.1733,            0.028565,             0.34057,             0.27676,             0.24454,             0.12055,             0.09761,             0.23844,            0.032896,           0.0091127,           0.0091127,           0.0091127
                  63,             0.10106,             0.17423,            0.028763,             0.34853,             0.27512,             0.24475,             0.12099,             0.09746,             0.23812,            0.032711,           0.0090844,           0.0090844,           0.0090844
                  64,             0.10069,             0.17393,            0.028461,             0.31959,             0.29296,             0.24575,              0.1203,            0.097489,             0.23802,            0.032495,           0.0090557,           0.0090557,           0.0090557
                  65,             0.10047,             0.17488,            0.028541,              0.3347,             0.28206,             0.24682,             0.12205,            0.097409,             0.23855,            0.032565,           0.0090266,           0.0090266,           0.0090266
                  66,             0.10105,              0.1767,            0.028467,              0.3646,             0.27097,             0.24768,             0.12186,            0.097434,             0.23849,            0.032587,           0.0089972,           0.0089972,           0.0089972
                  67,             0.10045,             0.17476,             0.02839,             0.35105,             0.28017,             0.24645,             0.12171,            0.097346,              0.2381,            0.032583,           0.0089673,           0.0089673,           0.0089673
                  68,             0.10019,             0.17246,            0.028455,             0.34211,             0.28528,             0.24943,              0.1233,            0.097357,             0.23784,            0.032556,           0.0089371,           0.0089371,           0.0089371
                  69,             0.10078,             0.17319,            0.028464,             0.34438,               0.283,             0.24854,              0.1241,            0.097379,             0.23791,            0.032587,           0.0089065,           0.0089065,           0.0089065
                  70,             0.10023,             0.17265,            0.028458,             0.34627,             0.28823,             0.25091,             0.12484,            0.097235,             0.23853,            0.032575,           0.0088755,           0.0088755,           0.0088755
                  71,             0.10013,             0.17455,            0.028343,             0.35696,              0.2719,             0.24883,              0.1236,             0.09724,             0.23814,            0.032493,           0.0088442,           0.0088442,           0.0088442
                  72,             0.10052,             0.17425,            0.028318,             0.34801,             0.27562,             0.24969,             0.12435,            0.097274,             0.23825,            0.032568,           0.0088124,           0.0088124,           0.0088124
                  73,             0.10049,             0.17265,            0.028184,             0.37446,             0.27131,             0.25163,             0.12445,            0.097214,             0.23832,            0.032593,           0.0087804,           0.0087804,           0.0087804
